time,qw,qx,qy,qz
3.60,0.8386445,0.5345878,0.0298732,0.0999945
3.62,0.8437592,0.5303736,0.0151875,0.0808922
3.64,0.8485071,0.5255200,0.0010054,0.0621562
3.66,0.8529147,0.5200557,-0.0126493,0.0438010
3.68,0.8570082,0.5140097,-0.0257552,0.0258393
3.70,0.8608127,0.5074116,-0.0382934,0.0082816
3.72,0.8643526,0.5002913,-0.0502471,-0.0088631
3.74,0.8676510,0.4926786,-0.0616017,-0.0255879
3.76,0.8707302,0.4846036,-0.0723446,-0.0418870
3.78,0.8736107,0.4760965,-0.0824656,-0.0577564
3.80,0.8763121,0.4671873,-0.0919561,-0.0731933
3.82,0.8788521,0.4579058,-0.1008096,-0.0881962
3.84,0.8812475,0.4482819,-0.1090214,-0.1027646
3.86,0.8835132,0.4383449,-0.1165885,-0.1168990
3.88,0.8856627,0.4281242,-0.1235100,-0.1306008
3.90,0.8877082,0.4176486,-0.1297864,-0.1438725
3.92,0.8896604,0.4069466,-0.1354200,-0.1567168
3.94,0.8915287,0.3960463,-0.1404148,-0.1691376
3.96,0.8933211,0.3849751,-0.1447766,-0.1811389
3.98,0.8950444,0.3737600,-0.1485124,-0.1927255
4.00,0.8967042,0.3624270,-0.1516312,-0.2039026
4.02,0.8983052,0.3510016,-0.1541430,-0.2146756
4.04,0.8998510,0.3395083,-0.1560597,-0.2250505
4.06,0.9013443,0.3279707,-0.1573944,-0.2350333
4.08,0.9027873,0.3164113,-0.1581615,-0.2446304
4.10,0.9041812,0.3048514,-0.1583766,-0.2538481
4.12,0.9055270,0.2933112,-0.1580564,-0.2626931
4.14,0.9068249,0.2818094,-0.1572188,-0.2711720
4.16,0.9080752,0.2703635,-0.1558824,-0.2792915
4.18,0.9092775,0.2589894,-0.1540666,-0.2870581
4.20,0.9104315,0.2477016,-0.1517918,-0.2944785
4.22,0.9115368,0.2365129,-0.1490783,-0.3015591
4.24,0.9125929,0.2254347,-0.1459475,-0.3083062
4.26,0.9135993,0.2144765,-0.1424204,-0.3147261
4.28,0.9145557,0.2036465,-0.1385187,-0.3208246
4.30,0.9154619,0.1929513,-0.1342638,-0.3266077
4.32,0.9163177,0.1823956,-0.1296769,-0.3320809
4.34,0.9171231,0.1719829,-0.1247794,-0.3372494
4.36,0.9178786,0.1617150,-0.1195919,-0.3421184
4.38,0.9185843,0.1515924,-0.1141350,-0.3466926
4.40,0.9192411,0.1416142,-0.1084285,-0.3509766
4.42,0.9198494,0.1317781,-0.1024918,-0.3549746
4.44,0.9204104,0.1220807,-0.0963439,-0.3586906
4.46,0.9209248,0.1125173,-0.0900029,-0.3621282
4.48,0.9213939,0.1030823,-0.0834863,-0.3652909
4.50,0.9218186,0.0937689,-0.0768110,-0.3681818
4.52,0.9222003,0.0845698,-0.0699934,-0.3708037
4.54,0.9225401,0.0754765,-0.0630489,-0.3731593
4.56,0.9228392,0.0664799,-0.0559927,-0.3752507
4.58,0.9230986,0.0575702,-0.0488392,-0.3770800
4.60,0.9233194,0.0487373,-0.0416024,-0.3786491
4.62,0.9235026,0.0399704,-0.0342956,-0.3799594
4.64,0.9236489,0.0312581,-0.0269319,-0.3810122
4.66,0.9237590,0.0225892,-0.0195240,-0.3818086
4.68,0.9238336,0.0139517,-0.0120843,-0.3823492
4.70,0.9238728,0.0053338,-0.0046251,-0.3826345
4.72,0.9238770,-0.0032766,0.0028416,-0.3826650
4.74,0.9238461,-0.0118916,0.0103036,-0.3824405
4.76,0.9237801,-0.0205233,0.0177491,-0.3819609
4.78,0.9236785,-0.0291837,0.0251657,-0.3812258
4.80,0.9235409,-0.0378845,0.0325411,-0.3802343
4.82,0.9233666,-0.0466373,0.0398626,-0.3789856
4.84,0.9231548,-0.0554535,0.0471174,-0.3774785
4.86,0.9229047,-0.0643438,0.0542921,-0.3757115
4.88,0.9226152,-0.0733188,0.0613728,-0.3736828
4.90,0.9222853,-0.0823881,0.0683453,-0.3713906
4.92,0.9219137,-0.0915612,0.0751946,-0.3688325
4.94,0.9214993,-0.1008465,0.0819054,-0.3660062
4.96,0.9210409,-0.1102518,0.0884614,-0.3629087
4.98,0.9205374,-0.1197840,0.0948459,-0.3595370
5.00,0.9199877,-0.1294490,0.1010416,-0.3558878
5.02,0.9193908,-0.1392516,0.1070304,-0.3519576
5.04,0.9187457,-0.1491956,0.1127936,-0.3477423
5.06,0.9180517,-0.1592835,0.1183120,-0.3432378
5.08,0.9173081,-0.1695167,0.1235657,-0.3384396
5.10,0.9165146,-0.1798949,0.1285344,-0.3333431
5.12,0.9156709,-0.1904167,0.1331973,-0.3279432
5.14,0.9147768,-0.2010790,0.1375335,-0.3222347
5.16,0.9138324,-0.2118773,0.1415216,-0.3162120
5.18,0.9128379,-0.2228055,0.1451401,-0.3098694
5.20,0.9117936,-0.2338559,0.1483675,-0.3032010
5.22,0.9107000,-0.2450192,0.1511826,-0.2962007
5.24,0.9095576,-0.2562844,0.1535642,-0.2888621
5.26,0.9083668,-0.2676392,0.1554914,-0.2811787
5.28,0.9071280,-0.2790693,0.1569441,-0.2731442
5.30,0.9058414,-0.2905592,0.1579026,-0.2647517
5.32,0.9045071,-0.3020919,0.1583481,-0.2559948
5.34,0.9031247,-0.3136489,0.1582624,-0.2468667
5.36,0.9016935,-0.3252103,0.1576287,-0.2373609
5.38,0.9002124,-0.3367552,0.1564310,-0.2274708
5.40,0.8986794,-0.3482611,0.1546545,-0.2171902
5.42,0.8970919,-0.3597049,0.1522860,-0.2065128
5.44,0.8954465,-0.3710623,0.1493132,-0.1954327
5.46,0.8937388,-0.3823080,0.1457257,-0.1839444
5.48,0.8919635,-0.3934160,0.1415142,-0.1720426
5.50,0.8901141,-0.4043596,0.1366711,-0.1597225
5.52,0.8881827,-0.4151115,0.1311905,-0.1469797
5.54,0.8861604,-0.4256437,0.1250680,-0.1338104
5.56,0.8840367,-0.4359279,0.1183008,-0.1202116
5.58,0.8818000,-0.4459353,0.1108878,-0.1061807
5.60,0.8794370,-0.4556367,0.1028299,-0.0917160
5.62,0.8769329,-0.4650027,0.0941293,-0.0768170
5.64,0.8742717,-0.4740036,0.0847905,-0.0614836
5.66,0.8714356,-0.4826095,0.0748194,-0.0457173
5.68,0.8684058,-0.4907904,0.0642242,-0.0295206
5.70,0.8651617,-0.4985162,0.0530146,-0.0128971
5.72,0.8616815,-0.5057569,0.0412029,0.0041479
5.74,0.8579424,-0.5124825,0.0288029,0.0216077
5.76,0.8539203,-0.5186631,0.0158309,0.0394738
5.78,0.8495900,-0.5242690,0.0023055,0.0577361
5.80,0.8449258,-0.5292712,-0.0117527,0.0763824
5.82,0.8399012,-0.5336407,-0.0263204,0.0953986
5.84,0.8344891,-0.5373495,-0.0413720,0.1147684
5.86,0.8286625,-0.5403703,-0.0568794,0.1344734
5.88,0.8223943,-0.5426768,-0.0728117,0.1544926
5.90,0.8156576,-0.5442438,-0.0891358,0.1748030
5.92,0.8084263,-0.5450478,-0.1058155,0.1953787
5.94,0.8006750,-0.5450668,-0.1228123,0.2161918
5.96,0.7923796,-0.5442806,-0.1400850,0.2372118
5.98,0.7835175,-0.5426714,-0.1575899,0.2584056
6.00,0.7740680,-0.5402239,-0.1752808,0.2797382
6.02,0.7640126,-0.5369255,-0.1931094,0.3011720
6.04,0.7533352,-0.5327665,-0.2110251,0.3226676
6.06,0.7420225,-0.5277407,-0.2289755,0.3441838
6.08,0.7300646,-0.5218454,-0.2469067,0.3656777
6.10,0.7174545,-0.5150817,-0.2647632,0.3871052
6.12,0.7041891,-0.5074544,-0.2824887,0.4084211
6.14,0.6902691,-0.4989730,-0.3000264,0.4295797
6.16,0.6756990,-0.4896506,-0.3173189,0.4505351
6.18,0.6604874,-0.4795052,-0.3343094,0.4712414
6.20,0.6446469,-0.4685587,-0.3509416,0.4916535
6.22,0.6281943,-0.4568376,-0.3671602,0.5117272
6.24,0.6111503,-0.4443726,-0.3829117,0.5314198
6.26,0.5935395,-0.4311982,-0.3981443,0.5506905
6.28,0.5753902,-0.4173531,-0.4128089,0.5695010
