t,qx,qy,qz,qw
5.49,0.16612408,-0.35009674,-0.61687338,0.68505642
5.52,0.16383654,-0.35084890,-0.60926752,0.69199402
5.54,0.16191696,-0.35148607,-0.60286788,0.69770392
5.56,0.15998606,-0.35211926,-0.59641637,0.70335197
5.59,0.15686636,-0.35308874,-0.58598790,0.71227766
5.60,0.15528729,-0.35353012,-0.58070574,0.71671693
5.63,0.15290303,-0.35412956,-0.57272019,0.72332876
5.65,0.15090379,-0.35456560,-0.56602098,0.72878771
5.67,0.14889417,-0.35493405,-0.55929123,0.73419729
5.68,0.14728245,-0.35517685,-0.55388919,0.73848768
5.70,0.14566730,-0.35537178,-0.54846784,0.74274825
5.72,0.14364859,-0.35554792,-0.54166594,0.74802993
5.74,0.14162453,-0.35564111,-0.53483262,0.75327018
5.77,0.13881085,-0.35567467,-0.52521074,0.76051348
5.79,0.13645831,-0.35569015,-0.51689210,0.76660694
5.81,0.13452458,-0.35567324,-0.50991818,0.77161074
5.84,0.13222326,-0.35559027,-0.50150584,0.77753744
5.86,0.13030738,-0.35544834,-0.49445894,0.78242369
5.88,0.12838831,-0.35522858,-0.48739009,0.78726107
5.90,0.12645972,-0.35492211,-0.48030129,0.79205360
5.91,0.12490227,-0.35460756,-0.47460533,0.79586600
5.93,0.12293698,-0.35412912,-0.46745281,0.80060411
5.95,0.12134816,-0.35367788,-0.46170062,0.80437499
5.97,0.11933508,-0.35302390,-0.45447257,0.80906609
5.98,0.11769118,-0.35242356,-0.44865479,0.81280705
6.00,0.11560235,-0.35157716,-0.44134238,0.81746345
6.03,0.11305669,-0.35043001,-0.43251920,0.82300919
6.05,0.11090279,-0.34936983,-0.42512298,0.82759395
6.06,0.10917158,-0.34849071,-0.41916941,0.83122368
6.08,0.10701027,-0.34738627,-0.41167642,0.83569977
6.11,0.10441160,-0.34602934,-0.40261281,0.84099039
6.12,0.10267370,-0.34509300,-0.39653269,0.84447070
6.14,0.10049304,-0.34387436,-0.38889303,0.84877193
6.16,0.09829853,-0.34258854,-0.38120759,0.85302477
6.19,0.09564084,-0.34094396,-0.37192904,0.85806691
6.21,0.09340976,-0.33949119,-0.36414850,0.86221588
6.23,0.09116305,-0.33796292,-0.35632075,0.86631743
6.24,0.08934937,-0.33667124,-0.35001539,0.86957368
6.27,0.08661011,-0.33463112,-0.34050775,0.87439989
6.29,0.08431488,-0.33284579,-0.33253946,0.87836336
6.30,0.08247247,-0.33136899,-0.32613347,0.88149296
6.33,0.07970385,-0.32908005,-0.31646882,0.88611574
6.35,0.07740005,-0.32712311,-0.30837289,0.88989093
6.37,0.07464898,-0.32482774,-0.29862332,0.89428104
6.39,0.07282669,-0.32332625,-0.29208238,0.89713115
6.41,0.07055627,-0.32146234,-0.28386762,0.90061254
6.43,0.06828896,-0.31959462,-0.27561285,0.90400965
6.45,0.06557270,-0.31732139,-0.26565735,0.90798322
6.47,0.06331413,-0.31538595,-0.25732248,0.91121247
6.50,0.06060866,-0.31299495,-0.24726824,0.91499681
6.51,0.05880663,-0.31135188,-0.24053738,0.91746583
6.54,0.05610877,-0.30880465,-0.23040043,0.92109019
6.55,0.05431569,-0.30705398,-0.22361577,0.92345203
6.57,0.05208104,-0.30480912,-0.21510576,0.92634145
6.59,0.04985539,-0.30249986,-0.20656239,0.92916105
6.61,0.04763933,-0.30013056,-0.19798700,0.93190841
6.63,0.04543355,-0.29769373,-0.18938054,0.93458507
6.66,0.04280616,-0.29469266,-0.17902944,0.93769522
6.68,0.04063253,-0.29213645,-0.17038423,0.94019919
6.70,0.03846926,-0.28953415,-0.16171083,0.94262384
6.72,0.03588671,-0.28635632,-0.15126843,0.94542586
6.74,0.03331687,-0.28320155,-0.14078102,0.94808627
6.76,0.03118332,-0.28062832,-0.13200562,0.95018412
6.79,0.02863114,-0.27758082,-0.12143543,0.95256631
6.81,0.02609441,-0.27456819,-0.11086166,0.95479897
6.83,0.02398023,-0.27207170,-0.10202182,0.95655292
6.85,0.02186521,-0.26958619,-0.09315834,0.95821017
6.87,0.02016869,-0.26759528,-0.08604122,0.95947011
6.89,0.01762312,-0.26460246,-0.07532992,0.96124938
6.91,0.01550764,-0.26210064,-0.06637889,0.96263005
6.93,0.01381886,-0.26009484,-0.05920297,0.96366733
6.95,0.01170965,-0.25758526,-0.05021695,0.96487874
6.96,0.01002605,-0.25557775,-0.04301852,0.96577891
6.99,0.00750941,-0.25258620,-0.03220701,0.96700906
7.01,0.00541288,-0.25018047,-0.02318799,0.96790637
7.03,0.00289803,-0.24738223,-0.01235623,0.96883485
7.05,0.00080432,-0.24510651,-0.00332413,0.96949012
7.07,-0.00086886,-0.24331187,0.00390314,0.96993987
7.09,-0.00336232,-0.24065951,0.01470475,0.97049238
7.11,-0.00543008,-0.23848068,0.02370137,0.97084279
7.14,-0.00790125,-0.23589621,0.03449325,0.97113375
7.15,-0.00954609,-0.23418027,0.04169148,0.97125192
7.17,-0.01159491,-0.23203733,0.05068834,0.97131608
7.19,-0.01363578,-0.22988497,0.05968280,0.97129034
7.21,-0.01526369,-0.22814516,0.06687801,0.97120757
7.23,-0.01729492,-0.22594290,0.07586746,0.97102771
7.25,-0.01972356,-0.22325740,0.08663238,0.97070178
7.27,-0.02133598,-0.22143534,0.09380411,0.97041844
7.28,-0.02293989,-0.21958751,0.10096355,0.97008322
7.30,-0.02492916,-0.21723669,0.10989539,0.96959258
7.32,-0.02650886,-0.21532167,0.11703228,0.96914256
7.34,-0.02847081,-0.21288904,0.12594346,0.96850705
7.36,-0.03002431,-0.21093325,0.13304211,0.96793879
7.38,-0.03196717,-0.20852023,0.14190382,0.96714049
7.40,-0.03431319,-0.20568097,0.15251814,0.96605184
7.42,-0.03627864,-0.20334529,0.16133876,0.96504112
7.44,-0.03785472,-0.20148146,0.16837721,0.96416874
7.46,-0.03983135,-0.19914077,0.17716427,0.96300012
7.47,-0.04141862,-0.19725540,0.18418321,0.96200382
7.50,-0.04380791,-0.19438702,0.19471765,0.96040595
7.51,-0.04540760,-0.19244873,0.20173251,0.95927349
7.53,-0.04741061,-0.19000005,0.21048661,0.95778265
7.56,-0.04981923,-0.18702433,0.22096334,0.95588448
7.57,-0.05143247,-0.18501489,0.22793722,0.95455163
7.60,-0.05385824,-0.18196666,0.23836939,0.95245339
7.61,-0.05547615,-0.17991430,0.24530070,0.95098938
7.63,-0.05750400,-0.17732739,0.25394115,0.94908492
7.65,-0.05913391,-0.17523984,0.26084267,0.94749949
7.67,-0.06158378,-0.17208724,0.27115379,0.94502330
7.69,-0.06363342,-0.16945675,0.27970729,0.94286745
7.71,-0.06571453,-0.16688853,0.28820996,0.94061939
7.73,-0.06740432,-0.16488317,0.29498161,0.93875239
7.74,-0.06911090,-0.16290234,0.30174135,0.93682371
7.76,-0.07126425,-0.16045342,0.31014964,0.93433576
7.79,-0.07387198,-0.15753958,0.32017778,0.93124132
7.80,-0.07561946,-0.15560260,0.32682711,0.92911440
7.82,-0.07736820,-0.15366548,0.33344768,0.92693782
7.84,-0.07955087,-0.15124122,0.34168049,0.92414944
7.86,-0.08172327,-0.14879807,0.34987964,0.92128425
7.88,-0.08388227,-0.14632700,0.35805351,0.91834082
7.90,-0.08602408,-0.14383777,0.36618058,0.91532636
7.92,-0.08814269,-0.14133258,0.37425172,0.91224537
7.94,-0.08982068,-0.13932131,0.38066882,0.90973242
7.95,-0.09148437,-0.13730894,0.38705327,0.90717508
7.98,-0.09395237,-0.13429216,0.39656805,0.90325653
8.00,-0.09681397,-0.13081969,0.40757516,0.89855203
8.02,-0.09887878,-0.12842805,0.41535812,0.89510159
8.05,-0.10136615,-0.12562530,0.42462008,0.89086530
8.06,-0.10302467,-0.12377833,0.43075571,0.88798331
8.08,-0.10508853,-0.12147461,0.43837885,0.88432138
8.11,-0.10754022,-0.11869489,0.44746298,0.87984289
8.12,-0.10915261,-0.11681880,0.45348581,0.87680654
8.15,-0.11153536,-0.11396129,0.46246188,0.87218214
8.17,-0.11387354,-0.11103946,0.47136699,0.86747693
8.19,-0.11578652,-0.10855081,0.47873561,0.86349431
8.22,-0.11804010,-0.10550608,0.48750164,0.85864844
8.23,-0.11952023,-0.10343637,0.49330755,0.85537330
8.25,-0.12098515,-0.10133549,0.49908381,0.85206166
8.27,-0.12279513,-0.09866279,0.50626044,0.84787226
8.29,-0.12457992,-0.09593869,0.51338296,0.84363117
8.30,-0.12599279,-0.09372252,0.51904578,0.84019842
8.32,-0.12774503,-0.09091679,0.52608058,0.83585559
8.34,-0.12952744,-0.08813369,0.53305033,0.83145201
8.37,-0.13170695,-0.08482319,0.54135020,0.82607401
8.38,-0.13317707,-0.08261599,0.54684049,0.82243781
8.40,-0.13502524,-0.07984197,0.55365474,0.81783854
8.42,-0.13687994,-0.07704320,0.56040803,0.81318575
8.44,-0.13836642,-0.07477801,0.56577322,0.80942180
8.46,-0.14022499,-0.07191156,0.57243207,0.80466590
8.48,-0.14245438,-0.06841225,0.58035034,0.79888672
8.51,-0.14467980,-0.06484681,0.58818615,0.79303197
8.52,-0.14615895,-0.06242736,0.59336890,0.78908411
8.54,-0.14763213,-0.05997175,0.59851988,0.78510005
8.56,-0.14946057,-0.05684294,0.60491419,0.78007002
8.58,-0.15127191,-0.05364258,0.61126069,0.77498364
8.61,-0.15377466,-0.04903863,0.62006206,0.76777054
8.63,-0.15553588,-0.04566804,0.62628167,0.76255773
8.65,-0.15761043,-0.04153062,0.63368393,0.75622671
8.67,-0.15933483,-0.03803907,0.63979511,0.75088458
8.69,-0.16074208,-0.03524580,0.64463750,0.74656695
8.71,-0.16252372,-0.03174093,0.65063450,0.74111625
8.72,-0.16395934,-0.02891907,0.65539158,0.73671087
8.74,-0.16539497,-0.02607994,0.66011095,0.73226899
8.76,-0.16682768,-0.02321241,0.66480267,0.72778233
8.78,-0.16860778,-0.01958607,0.67062757,0.72211251
8.80,-0.17071531,-0.01517453,0.67754922,0.71522938
8.82,-0.17243865,-0.01144691,0.68326107,0.70942807
8.84,-0.17412704,-0.00767445,0.68891806,0.70357145
8.86,-0.17577904,-0.00386269,0.69452233,0.69765718
8.88,-0.17707325,-0.00079010,0.69896868,0.69288326
8.90,-0.17865650,0.00308112,0.70447961,0.68686304
8.92,-0.18020067,0.00698936,0.70994887,0.68077270
8.93,-0.18140184,0.01013815,0.71428504,0.67586055
8.95,-0.18286475,0.01409398,0.71965405,0.66967148
8.97,-0.18433406,0.01802694,0.72494954,0.66343361
9.00,-0.18612377,0.02269029,0.73121791,0.65586848
9.02,-0.18762186,0.02655052,0.73636189,0.64951079
9.04,-0.18910971,0.03039006,0.74142609,0.64311843
9.06,-0.19057732,0.03421141,0.74640702,0.63669963
9.08,-0.19203057,0.03802018,0.75132097,0.63023451
9.10,-0.19374835,0.04257824,0.75712977,0.62241721
9.12,-0.19515398,0.04635369,0.76189220,0.61586244
9.14,-0.19680639,0.05087026,0.76752529,0.60793453
9.16,-0.19815369,0.05461973,0.77215263,0.60127541
9.19,-0.19972271,0.05909392,0.77760733,0.59325001
9.20,-0.20074587,0.06206567,0.78119647,0.58786140
9.22,-0.20175145,0.06502818,0.78474825,0.58244130
9.24,-0.20273807,0.06797773,0.78826152,0.57699226
9.25,-0.20370629,0.07091681,0.79173420,0.57151685
9.27,-0.20465744,0.07384502,0.79517008,0.56600954
9.28,-0.20559111,0.07675956,0.79856887,0.56047126
